ind code,name
201,Non-depository credit intermediation [BS522200]
120,Fruit and vegetable preserving [BS31140]
367,Tobacco manufacturing [BS31220]
368,Total industries
136,Health care and social assistance [BS620]
212,Nursing and residential care facilities [BS623000]
329,Sand gravel clay and ceramic and refractory minerals mining [BS212320]
323,Resin synthetic rubber and fibres and paint manufacturing [BS325B00]
15,Alumina and aluminum production and processing [BS331300]
4,Activities related to credit intermediation [BS522300]
49,Cannabis stores (unlicensed) [BS453BU0]
292,Postal service couriers and messengers [BS49A00]
70,Copper nickel lead and zinc ore mining [BS212230]
351,Sugar and confectionery product manufacturing [BS311300]
353,Support activities for agriculture and forestry [BS11500]
375,Truck transportation [BS484000]
154,Legal services [BS541100]
308,Recreational vehicle (RV) parks recreational camps [BS721A00]
302,Radio and television broadcasting [BS515100]
313,Rental and leasing services of non-financial assets [BS53B00]
221,Oil and gas engineering construction [BS23C20]
165,Meat product manufacturing [BS31160]
132,Greenhouse nursery and floriculture production [BS1114A0]
5,Administrative and support services [BS56100]
54,Clothing and leather and allied product manufacturing [BS31B000]
183,Motor vehicle and parts dealers [BS441000]
72,Crop and animal production (except cannabis) [BS11B00]
122,Furniture and home furnishings stores [BS442000]
328,Rubber product manufacturing [BS32620]
342,Soft drink and ice manufacturing [BS312110]
162,Management scientific and technical consulting services [BS541600]
23,Architectural and structural metals manufacturing [BS332300]
315,Repair and maintenance [BS81100]
287,Pipeline transportation of natural gas [BS486200]
355,Support activities for crop and animal production [BS115A00]
203,Non-ferrous metal (except aluminum) production [BS331400]
130,Grain and oilseed milling [BS311200]
172,Miscellaneous food manufacturing [BS311A0]
179,Motion picture and sound recording industries [BS51200]
62,Communications equipment manufacturing [BS334200]
121,Funeral services [BS812200]
363,Telecommunications [BS517000]
219,Offices of real estate agents and brokers [BS531A00]
77,Dairy product manufacturing [BS311500]
117,Forging and stamping [BS332100]
89,Educational services [NP61000]
382,Ventilation heating air-conditioning [BS333400]
118,Foundries [BS331500]
205,Non-metallic mineral product manufacturing [BS327A00]
346,Specialized design services [BS541400]
295,Printing and related support activities [BS323000]
286,Pipeline transportation [BS48600]
280,Petroleum and coal product manufacturing [BS324000]
299,Publishing pay/specialty services telecommunications [BS51B00]
174,Miscellaneous merchant wholesalers [BS418000]
30,Automotive equipment rental and leasing [BS532100]
178,Monetary authorities - central bank [BS521000]
384,Warehousing and storage [BS49300]
11,Agencies brokerages and other insurance related activities [BS524200]
106,Finance insurance real estate rental and leasing companies [BS5B0]
341,Social assistance [NP62400]
206,Non-metallic mineral product manufacturing[BS327A0]
344,Software publishers [BS511200]
390,Wholesale trade [BS410000]
360,Support activities for oil and gas extraction [BS21311A]
160,Machinery equipment and supplies merchant wholesalers [BS417000]
43,Business support services [BS561400]
87,Educational services [BS610]
217,Offices of dentists [BS621200]
348,Spring and wire product manufacturing [BS332600]
357,Support activities for mining [BS21311B]
267,Owner-occupied dwellings [BS5311A0]
94,Electric power generation transmission and distribution [BS22110]
24,Architectural engineering and related services [BS541300]
389,Water transportation [BS48300]
61,Communication engineering construction [BS23C40]
51,Cement and concrete product manufacturing [BS327300]
216,Office furniture (including fixtures) manufacturing [BS337200]
19,Animal food manufacturing [BS31110]
31,Automotive repair and maintenance [BS811100]
195,Motor vehicle steering and suspension components [BS336330]
372,Transportation engineering construction [BS23C10]
395,Wood product manufacturing [BS32100]
99,Elementary and secondary schools [GS611100]
365,Textile and textile product mills [BS31A00]
187,Motor vehicle electrical and electronic equipment [BS336320]
141,Household and institutional furniture manufacturing [BS337100]
75,Crude oil and other pipeline transportation [BS486A00]
73,Crop and animal production [BS11A]
186,Motor vehicle brake system manufacturing [BS336340]
20,Animal production (except aquaculture) [BS112A00]
152,Legal accounting and architectural engineering [BS541C0]
335,Services to buildings and dwellings [BS561700]
155,Lessors of non-financial intangible assets [BS533000]
364,Textile and textile product mills [BS31A000]
107,Financial investment services funds [BS52A000]
268,Owner-occupied dwellings [BS5311A]
213,Nursing and residential care facilities [GS623000]
131,Grant-making civic and professional and similar [NP813A00]
189,Motor vehicle manufacturing [BS336100]
103,Fabricated metal product manufacturing [BS33200]
128,Government education services [GS610]
113,Food services and drinking places [BS722000]
177,Miscellaneous store retailers (except cannabis) [BS453A00]
182,Motor vehicle and motor vehicle parts wholesalers [BS415000]
158,Local credit unions [BS522130]
134,Health and personal care stores [BS446000]
41,Business professional and other membership organizations [BS813000]
325,Retail trade (except cannabis) [BS4AA00]
46,Cannabis production (licensed) [BS111CL]
305,Rail transportation [BS48200]
170,Miscellaneous ambulatory health care services [BS621A00]
100,Employment services [BS561300]
274,Personal and household goods merchant wholesalers [BS414000]
56,Coal mining [BS212100]
135,Health care and social assistance [BS62000]
204,Non-metallic mineral mining and quarrying [BS21230]
126,General merchandise stores [BS452000]
171,Miscellaneous chemical product manufacturing [BS325C0]
319,Residential building construction [BS23A000]
96,Electrical equipment manufacturing [BS335300]
27,Arts entertainment and recreation [NP710000]
146,Information and cultural industries [BS510]
374,Traveller accommodation [BS721100]
63,Community colleges and C.E.G.E.P.s [GS611200]
192,Motor vehicle parts manufacturing [BS336300]
123,Furniture and related product manufacturing [BS33700]
28,Arts entertainment and recreation [NP71000]
55,Clothing and leather and allied product manufacturing [BS31B00]
168,Metalworking machinery manufacturing [BS333500]
127,Gold and silver ore mining [BS212220]
276,Personal services and private households [BS81A00]
119,Fruit and vegetable preserving [BS311400]
294,Primary metal manufacturing [BS33100]
114,Forestry and logging [BS113000]
69,Converted paper product manufacturing [BS32220]
275,Personal care services and other personal services [BS812A00]
6,Administrative and support waste management [BS560]
343,Soft drink and ice manufacturing [BS31211]
18,Animal food manufacturing [BS311100]
67,Computer systems design and related services [BS541500]
161,Machinery manufacturing [BS33300]
74,Crop production [BS111A00]
334,Semiconductor and other electronic component manufacturing [BS334400]
371,Transportation engineering construction [BS23C100]
349,Steel product manufacturing from purchased steel [BS331200]
304,Rail transportation [BS482000]
373,Travel arrangement and reservation services [BS561500]
3,Accounting tax preparation bookkeeping and payroll services [BS541200]
156,Lessors of real estate [BS531100]
209,Non-residential building construction [BS23B00]
215,Office administrative services [BS561100]
166,Medical equipment and supplies manufacturing [BS339100]
151,Iron ore mining [BS212210]
223,Oil and gas extraction [BS211000]
173,Miscellaneous manufacturing [BS33900]
32,Bakeries and tortilla manufacturing [BS311800]
333,Seafood product preparation and packaging [BS31170]
142,Household appliance manufacturing [BS335200]
65,Computer and peripheral equipment manufacturing [BS33410]
318,Repair construction [BS23D]
316,Repair construction [BS23D000]
42,Business professional and other membership organizations [BS81300]
193,Motor vehicle parts manufacturing [BS33630]
163,Manufacturing [BS3A0]
2,Accommodation and food services [BS720]
29,Automobile and light-duty motor vehicle manufacturing [BS336110]
362,Taxi and limousine service [BS485300]
347,Sporting goods hobby book and music stores [BS451000]
293,Potash mining [BS212396]
191,Motor vehicle metal stamping [BS336370]
196,Motor vehicle transmission and power train parts [BS336350]
140,Hospitals [GS62200]
133,Hardware manufacturing [BS332500]
138,Holding companies [BS551113]
309,Religious organizations [NP813100]
76,Cutlery hand tools [BS332A00]
312,Rental and leasing services and lessors [BS53A000]
326,Retail trade [BS4A0]
385,Waste management and remediation services [BS562000]
38,Breweries [BS31212]
271,Pay and specialty television telecommunications [BS51A000]
352,Sugar and confectionery product manufacturing [BS31130]
391,Wholesale trade [BS41000]
311,Rental and leasing services (except automotive equipment) [BS532A00]
181,Motion picture and video industries (except exhibition) [BS5121A0]
124,Gambling industries [BS713200]
12,Agricultural construction and mining machinery manufacturing [BS333100]
359,Support activities for mining and oil and gas extraction [BS21300]
59,Commercial and service industry machinery manufacturing [BS333300]
332,Seafood product preparation and packaging [BS311700]
139,Hospitals [GS622000]
208,Non-residential building construction [BS23B000]
383,Warehousing and storage [BS493000]
270,Pay and specialty television [BS515200]
78,Dairy product manufacturing [BS31150]
